Merchant City,Transaction Month,Amount,Merchant State,Transaction Type,Has Chip,User Zip,Credit Limit,Age,Is Fraud?,fraud_categories
ONLINE,11,2505.58,,Online Transaction,YES,,30044,58,Yes,Severe Risk
ONLINE,8,2578.41,,Online Transaction,YES,,14231,63,Yes,Severe Risk
ONLINE,12,3303.68,,Online Transaction,NO,,3800,29,Yes,Severe Risk
ONLINE,11,3416.64,,Online Transaction,YES,,15700,43,Yes,Severe Risk
ONLINE,2,2208.45,,Online Transaction,YES,,5100,59,Yes,Severe Risk
ONLINE,7,2061.56,,Online Transaction,YES,,12369,49,Yes,Severe Risk
ONLINE,9,5694.44,,Online Transaction,YES,,60610,57,Yes,Severe Risk
ONLINE,5,2169.36,,Online Transaction,YES,,20173,53,Yes,Severe Risk
ONLINE,3,2251.32,,Online Transaction,YES,,36912,80,Yes,Severe Risk
ONLINE,10,2801.89,,Online Transaction,YES,,19900,26,Yes,Severe Risk
ONLINE,12,2708.9,,Online Transaction,YES,,7364,45,Yes,Severe Risk
ONLINE,9,2065.14,,Online Transaction,YES,,3864,32,Yes,Severe Risk
ONLINE,2,2126.53,,Online Transaction,NO,,17883,58,Yes,Severe Risk
ONLINE,11,2222.37,,Online Transaction,YES,,9200,50,Yes,Severe Risk
ONLINE,7,2040.58,,Online Transaction,YES,,12764,78,Yes,Severe Risk
ONLINE,2,2529.39,,Online Transaction,YES,,7900,36,Yes,Severe Risk
ONLINE,3,4978.45,,Online Transaction,YES,,43984,43,Yes,Severe Risk
ONLINE,10,2124.08,,Online Transaction,YES,,17536,45,Yes,Severe Risk
ONLINE,2,2010.57,,Online Transaction,YES,,14532,52,Yes,Severe Risk
ONLINE,1,1014.41,,Online Transaction,YES,,22527,50,Yes,Significant Risk
ONLINE,1,1410.55,,Online Transaction,YES,,9800,47,Yes,Significant Risk
ONLINE,2,1635.58,,Online Transaction,YES,,17527,44,Yes,Significant Risk
ONLINE,6,1044.53,,Online Transaction,YES,,8600,58,Yes,Significant Risk
ONLINE,4,1512.81,,Online Transaction,YES,,26467,80,Yes,Significant Risk
ONLINE,8,1010.87,,Online Transaction,YES,,28963,33,Yes,Significant Risk
ONLINE,9,1189.83,,Online Transaction,YES,,6940,60,Yes,Significant Risk
ONLINE,8,1308.71,,Online Transaction,YES,,51,42,Yes,Significant Risk
ONLINE,8,1010.22,,Online Transaction,YES,,10348,29,Yes,Significant Risk
ONLINE,6,1135.18,,Online Transaction,YES,,25392,39,Yes,Significant Risk
ONLINE,4,1554.59,,Online Transaction,YES,,8300,32,Yes,Significant Risk
ONLINE,12,1110.23,,Online Transaction,YES,,20847,62,Yes,Significant Risk
ONLINE,5,1463.95,,Online Transaction,YES,,16566,53,Yes,Significant Risk
ONLINE,10,1410.82,,Online Transaction,YES,,5909,67,Yes,Significant Risk
Rome,7,1244.41,Italy,Chip Transaction,YES,,18888,81,Yes,Significant Risk
ONLINE,9,1456.18,,Online Transaction,YES,,6817,50,Yes,Significant Risk
ONLINE,10,1510.75,,Online Transaction,YES,,22679,27,Yes,Significant Risk
ONLINE,5,1863.29,,Online Transaction,YES,,0,43,Yes,Significant Risk
ONLINE,6,1992.25,,Online Transaction,YES,,8000,84,Yes,Significant Risk
ONLINE,10,1022.58,,Online Transaction,YES,,23401,36,Yes,Significant Risk
ONLINE,6,1575.6,,Online Transaction,YES,,23798,73,Yes,Significant Risk
ONLINE,10,1739.54,,Online Transaction,YES,,21207,41,Yes,Significant Risk
ONLINE,4,1187.76,,Online Transaction,YES,,4900,65,Yes,Significant Risk
Farmington,9,1382.06,MI,Chip Transaction,YES,48335,14898,62,Yes,Significant Risk
ONLINE,8,1349.33,,Online Transaction,YES,,23238,63,Yes,Significant Risk
ONLINE,4,1523.44,,Online Transaction,YES,,30074,72,Yes,Significant Risk
Anchorage,10,1221.78,AK,Swipe Transaction,YES,99504,1326,45,Yes,Significant Risk
ONLINE,2,1803.83,,Online Transaction,YES,,11994,71,Yes,Significant Risk
ONLINE,8,1061.67,,Online Transaction,YES,,11500,38,Yes,Significant Risk
ONLINE,12,1897.1,,Online Transaction,YES,,8165,39,Yes,Significant Risk
